Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
"1525 W WT Harris Blvd, South Park Mall",MECKLENBURG,CHARLOTTE,Wachovia Bank,NC,28262,Licensed
"8514 University Center Blvd, Davis Lake Commons",MECKLENBURG,CHARLOTTE,Harris-Teeter-Charlotte #258,NC,28262,Licensed
"135 Levine Avenue of the Arts, Suite 140",MECKLENBURG,CHARLOTTE,Duke Energy Center,NC,28202,Company Owned
"800 W Trade St, Ste 140",MECKLENBURG,CHARLOTTE,Gateway Village,NC,28202,Company Owned
"501 S College St, Grand Plaza",MECKLENBURG,CHARLOTTE,Charlotte Convention Center,NC,28202,Licensed
1961 East 7th Street,MECKLENBURG,CHARLOTTE,7th Street,NC,28204,Company Owned
900 Metropolitan Ave,MECKLENBURG,CHARLOTTE,Target Charlotte Midtown T-2244,NC,28204,Licensed
1025 Morehead Medical Drive,MECKLENBURG,CHARLOTTE,Carolinas Medical Kiosk,NC,28204,Company Owned
545 Providence Rd.,MECKLENBURG,CHARLOTTE,Providence Road,NC,28207,Company Owned
"1015 Providence Rd, Host Marriott/Starbucks Coffee",MECKLENBURG,CHARLOTTE,Harris Teeter-Charlotte #412,NC,28207,Licensed
1401 East Boulevard,MECKLENBURG,CHARLOTTE,East Blvd,NC,28203,Company Owned
4821 Berewick Town Center Dr.,MECKLENBURG,CHARLOTTE,Harris Teeter Charlotte # 3,NC,28217,Licensed
"4100 Carmel Road, Suite L",MECKLENBURG,CHARLOTTE,Olde Towne Village,NC,28226,Company Owned
"3333 Pineville Matthews Rd, Morehead Medical Plaza",MECKLENBURG,CHARLOTTE,Harris Teeter Charlotte #30,NC,28226,Licensed
201 South College Street,MECKLENBURG,CHARLOTTE,Charlotte Plaza,NC,28244,Company Owned
"101 N Tryon St, Charlotte/Douglas Int'l Airport",MECKLENBURG,CHARLOTTE,101 North Tyron,NC,28246,Company Owned
9015 Pineville-Matthews Road,MECKLENBURG,PINEVILLE,Carolinas Medical South,NC,28134,Company Owned
"11025 Carolina Place Pkwy, #A-21, Carolina Place Mall",MECKLENBURG,PINEVILLE,Teavana - Carolina Place,NC,28134,Company Owned
"11025 Carolina Place Parkway, A-140",MECKLENBURG,PINEVILLE,Carolina Place Mall,NC,28134,Company Owned
"13024 US Highway 70W, Suite 103",JOHNSTON,CLAYTON,"Clayton, NC",NC,27520,Company Owned
"67 Flowers Crossroads Wy, Walgreens Development",JOHNSTON,CLAYTON,Harris Teeter Clayton #229,NC,27527,Licensed
2785 Lewisville-Clemmons Rd,FORSYTH,CLEMMONS,Clemmons,NC,27012,Company Owned
"7741 Gateway Lane NW, Suite 130",CABARRUS,CONCORD,Speedway Blvd.,NC,28027,Company Owned
9900-Suite 124 Poplar Tent Rd,CABARRUS,CONCORD,Harris Teeter-Concord #190,NC,28027,Licensed
6065 Bayfield Pkwy,CABARRUS,CONCORD,Kannapolis Parkway,NC,28027,Company Owned
"1490 US Highway 29, Concord Mills",CABARRUS,CONCORD,"Concord, Hwy 29",NC,28027,Company Owned
"8111 Concord Mills Blvd, 342",CABARRUS,CONCORD,Concord Mills,NC,28027,Company Owned
6150 Bayfield Pkwy,CABARRUS,CONCORD,SuperTarget Kannapolis ST-2169,NC,28027,Licensed
358 George W Liles Pkwy,CABARRUS,CONCORD,Harris Teeter-Concord #68,NC,28027,Licensed
"19722 One Lake Norman Blvd, Suite 200",MECKLENBURG,CORNELIUS,Lake Norman Blvd.,NC,28031,Company Owned
21720 Catawba Ave,MECKLENBURG,CORNELIUS,Harris Teeter Cornelius # 416,NC,28031,Licensed
19815 N Cove Rd,MECKLENBURG,CORNELIUS,Harris Teeter-Cornelius #179,NC,28031,Licensed
6010 Currituck Clubhouse DR,CURRITUCK,COROLLA,Harris Teeter-Corolla #266,NC,27927,Licensed
517 Centennial Drive,JACKSON,CULLOWHEE,Western Carolina University -Center,NC,28723,Licensed
715 W Trade St.,GASTON,DALLAS,Ingles Dallas # 146,NC,28034,Licensed
"431 Peninsula Drive, Parkwest Crossing",MECKLENBURG,DAVIDSON,Harris Teeter-Davidson # 268,NC,28036,Licensed
4834 NC Hwy 55,DURHAM,DURHAM,"Parkwest Crossing, NC",NC,27713,Company Owned
"6910 Fayetteville Rd., #1305, Imperial Center",DURHAM,DURHAM,Teavana - Streets at Southpoint,NC,27713,Company Owned
"6813 Fayetteville Road, Willowdale Shopping Center",DURHAM,DURHAM,Renaissance Center at South Point,NC,27713,Company Owned
8210 Renaissance Pkwy,DURHAM,DURHAM,Super Target Durham SE ST-2069,NC,27713,Licensed
1125 West North Carolina 54 Hwy,DURHAM,DURHAM,Harris Teeter - Durham #224,NC,27707,Licensed
4201 N Roxboro Street,DURHAM,DURHAM,N. Roxboro & Fairfield,NC,27707,Company Owned
"4037 Chapel Hill Blvd, Streets at Southpoint",DURHAM,DURHAM,Super Target-Durham ST-1872,NC,27707,Licensed
"5319 New Hope Commons Dr, Suite 105, Renaissance at Southpoint",DURHAM,DURHAM,Mount Moriah,NC,27707,Company Owned
4010 Durham Chapel Hill Boulevard,DURHAM,DURHAM,Durham Chapel Hill & Tower Blvd,NC,27707,Company Owned
1817 Martin Luther King Pkwy,DURHAM,DURHAM,Harris Teeter 172 Durham,NC,27707,Licensed
3457 Hillsborough Road,DURHAM,DURHAM,Kroger - Durham #332,NC,27705,Licensed
2301 Erwin Rd,DURHAM,DURHAM,Duke University Hospital,NC,27705,Licensed
3801 Guess Road,DURHAM,DURHAM,Guess Road,NC,27705,Company Owned
2107 Hillborough Rd,DURHAM,DURHAM,Harris Teeter-Durham #394,NC,27705,Licensed
1119 Slater Rd,DURHAM,DURHAM,Imperial Corners,NC,27703,Company Owned
"691 S Hughes Blvd, Cross Creek Mall",PASQUOTANK,ELIZABETH CITY,Farm Fresh-Elizabeth City #469,NC,27909,Licensed
"565 Cross Creek Mall, Suite 100",CUMBERLAND,FAYETTEVILLE,Cross Creek,NC,28303,Company Owned
2800 Raeford Rd,CUMBERLAND,FAYETTEVILLE,Harris Teeter-Fayetteville #25,NC,28303,Licensed
"5400 Ramsey St, The Shoppes at Walter Reed",CUMBERLAND,FAYETTEVILLE,Methodist University - Berns Studen,NC,28311,Licensed
4401 N Ramsey Street,CUMBERLAND,FAYETTEVILLE,N Ramsey St,NC,28311,Company Owned
1445 Walter Reed Road,CUMBERLAND,FAYETTEVILLE,Walter Reed Road,NC,28304,Company Owned
"2056 Skibo Rd, Ramsey Commons",CUMBERLAND,FAYETTEVILLE,Target Fayetteville T-755,NC,28314,Licensed
3050 Traemoor Village Dr,CUMBERLAND,FAYETTEVILLE,Harris Teeter-Fayetteville #393,NC,28306,Licensed
220 Highland Lake Rd,HENDERSON,FLAT ROCK,Ingles-Flat Rock #177,NC,28731,Licensed
2901 Hendersonville Rd,HENDERSON,FLETCHER,Ingles-Fletcher #43,NC,28732,Licensed
765 S Church St,RUTHERFORD,FOREST CITY,Ingles Forest City - #27,NC,28043,Licensed
"3571 Butner Road, Bldg 8-5476A",CUMBERLAND,FORT BRAGG,Fort Bragg - North Post,NC,28310,Licensed
1017 Canopy LN,CUMBERLAND,FORT BRAGG,Fort Bragg South Post,NC,28310,Licensed
Building 42171 Reilly Road,CUMBERLAND,FORT BRAGG,Fort Bragg - Mini Mall,NC,28307,Licensed
1380 North Main St,WAKE,FUQUAY VARINA,Hwy 401 & Purfoy Rd,NC,27526,Company Owned
2700 Timber Dr,WAKE,GARNER,Target Garner T-1104,NC,27529,Licensed
"Rt. 401 & Ten Ten, White Oak Cabella's",WAKE,GARNER,Harris Teeter-Garner #283,NC,27529,Licensed
