Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
,MACON,HIGHLANDS,,NC,28741,
,BURKE,HILDEBRAN,,NC,28637,
,ORANGE,HILLSBOROUGH,,NC,27278,
,GATES,HOBBSVILLE,,NC,27946,
,HALIFAX,HOBGOOD,,NC,27843,
,PAMLICO,HOBUCKEN,,NC,28537,
,RICHMOND,HOFFMAN,,NC,28347,
,HALIFAX,HOLLISTER,,NC,27844,
,ONSLOW,HOLLY RIDGE,,NC,28445,
,GREENE,HOOKERTON,,NC,28538,
,CUMBERLAND,HOPE MILLS,,NC,28348,
,HENDERSON,HORSE SHOE,,NC,28742,
,MADISON,HOT SPRINGS,,NC,28743,
,ONSLOW,HUBERT,,NC,28539,
,CALDWELL,HUDSON,,NC,28638,
,MECKLENBURG,HUNTERSVILLE,,NC,28070,
,PERSON,HURDLE MILLS,,NC,27541,
,BURKE,ICARD,,NC,28666,
,LINCOLN,IRON STATION,,NC,28080,
,SAMPSON,IVANHOE,,NC,28447,
,NORTHAMPTON,JACKSON,,NC,27845,
,MOORE,JACKSON SPRINGS,,NC,27281,
,ONSLOW,JACKSONVILLE,,NC,28540,
,ONSLOW,JACKSONVILLE,,NC,28541,
,MARTIN,JAMESVILLE,,NC,27846,
,CURRITUCK,JARVISBURG,,NC,27947,
,ASHE,JEFFERSON,,NC,28640,
,BURKE,JONAS RIDGE,,NC,28641,
,YADKIN,JONESVILLE,,NC,28642,
,GUILFORD,JULIAN,,NC,27283,
,CABARRUS,KANNAPOLIS,,NC,28081,
,CABARRUS,KANNAPOLIS,,NC,28082,
,CABARRUS,KANNAPOLIS,,NC,28083,
,BERTIE,KELFORD,,NC,27847,
,BLADEN,KELLY,,NC,28448,
,DUPLIN,KENANSVILLE,,NC,28349,
,JOHNSTON,KENLY,,NC,27542,
,FORSYTH,KERNERSVILLE,,NC,27285,
,STOKES,KING,,NC,27021,
,LENOIR,KINSTON,,NC,28501,
,LENOIR,KINSTON,,NC,28502,
,LENOIR,KINSTON,,NC,28503,
,LENOIR,KINSTON,,NC,28504,
,HARNETT,KIPLING,,NC,27543,
,VANCE,KITTRELL,,NC,27544,
,CURRITUCK,KNOTTS ISLAND,,NC,27950,
,NEW HANOVER,KURE BEACH,,NC,28449,
,LENOIR,LA GRANGE,,NC,28551,
,HAYWOOD,LAKE JUNALUSKA,,NC,28745,
,RUTHERFORD,LAKE LURE,,NC,28746,
,TRANSYLVANIA,LAKE TOXAWAY,,NC,28747,
,COLUMBUS,LAKE WACCAMAW,,NC,28450,
,MOORE,LAKEVIEW,,NC,28350,
,ROWAN,LANDIS,,NC,28088,
,ASHE,LANSING,,NC,28643,
,CLEVELAND,LATTIMORE,,NC,28089,
,SCOTLAND,LAUREL HILL,,NC,28351,
,ALLEGHANY,LAUREL SPRINGS,,NC,28644,
,SCOTLAND,LAURINBURG,,NC,28352,
,SCOTLAND,LAURINBURG,,NC,28353,
,CLEVELAND,LAWNDALE,,NC,28090,
,STOKES,LAWSONVILLE,,NC,27022,
,CASWELL,LEASBURG,,NC,27291,
,BUNCOMBE,LEICESTER,,NC,28748,
,LEE,LEMON SPRINGS,,NC,28355,
,CALDWELL,LENOIR,,NC,28633,
,CALDWELL,LENOIR,,NC,28645,
,BERTIE,LEWISTON WOODVILLE,,NC,27849,
,FORSYTH,LEWISVILLE,,NC,27023,
,DAVIDSON,LEXINGTON,,NC,27292,
,DAVIDSON,LEXINGTON,,NC,27293,
,DAVIDSON,LEXINGTON,,NC,27295,
,RANDOLPH,LIBERTY,,NC,27298,
,ANSON,LILESVILLE,,NC,28091,
,HARNETT,LILLINGTON,,NC,27546,
,LINCOLN,LINCOLNTON,,NC,28093,
,CUMBERLAND,LINDEN,,NC,28356,
,AVERY,LINVILLE,,NC,28646,
,BURKE,LINVILLE FALLS,,NC,28647,
,DAVIDSON,LINWOOD,,NC,27299,
,MCDOWELL,LITTLE SWITZERLAND,,NC,28749,
,HALIFAX,LITTLETON,,NC,27850,
,STANLY,LOCUST,,NC,28097,
,BRUNSWICK,LONGWOOD,,NC,28452,
,FRANKLIN,LOUISBURG,,NC,27549,
,GASTON,LOWELL,,NC,28098,
,SURRY,LOWGAP,,NC,27024,
,PAMLICO,LOWLAND,,NC,28552,
,WILSON,LUCAMA,,NC,27851,
,ROBESON,LUMBER BRIDGE,,NC,28357,
,ROBESON,LUMBERTON,,NC,28359,
,ROBESON,LUMBERTON,,NC,28360,
,POLK,LYNN,,NC,28750,
,EDGECOMBE,MACCLESFIELD,,NC,27852,
,WARREN,MACON,,NC,27551,
,ROCKINGHAM,MADISON,,NC,27025,
,HAYWOOD,MAGGIE VALLEY,,NC,28751,
,DUPLIN,MAGNOLIA,,NC,28453,
,CATAWBA,MAIDEN,,NC,28650,
,HARNETT,MAMERS,,NC,27552,
,DARE,MANNS HARBOR,,NC,27953,
,VANCE,MANSON,,NC,27553,
,DARE,MANTEO,,NC,27954,
,CURRITUCK,MAPLE,,NC,27956,
,PENDER,MAPLE HILL,,NC,28454,
,CHEROKEE,MARBLE,,NC,28905,
,NORTHAMPTON,MARGARETTSVILLE,,NC,27853,
,ROBESON,MARIETTA,,NC,28362,
,MCDOWELL,MARION,,NC,28752,
,MADISON,MARS HILL,,NC,28754,
,MADISON,MARSHALL,,NC,28753,
,CARTERET,MARSHALLBERG,,NC,28553,
,UNION,MARSHVILLE,,NC,28103,
,RICHMOND,MARSTON,,NC,28363,
,MECKLENBURG,MATTHEWS,,NC,28106,
,GREENE,MAURY,,NC,28554,
,ROBESON,MAXTON,,NC,28364,
,ROCKINGHAM,MAYODAN,,NC,27027,
,JONES,MAYSVILLE,,NC,28555,
,GASTON,MC ADENVILLE,,NC,28101,
,ANSON,MC FARLAN,,NC,28102,
,WILKES,MC GRADY,,NC,28649,
,GUILFORD,MC LEANSVILLE,,NC,27301,
,ONSLOW,MCCUTCHEON FIELD,,NC,28545,
,PAMLICO,MERRITT,,NC,28556,
,BERTIE,MERRY HILL,,NC,27957,
,YANCEY,MICAVILLE,,NC,28755,
,JOHNSTON,MICRO,,NC,27555,
,VANCE,MIDDLEBURG,,NC,27556,
,NASH,MIDDLESEX,,NC,27557,
,CABARRUS,MIDLAND,,NC,28107,
,ONSLOW,MIDWAY PARK,,NC,28544,
,POLK,MILL SPRING,,NC,28756,
,WILKES,MILLERS CREEK,,NC,28651,
,CASWELL,MILTON,,NC,27305,
,UNION,MINERAL SPRINGS,,NC,28108,
,AVERY,MINNEAPOLIS,,NC,28652,
,STANLY,MISENHEIMER,,NC,28109,
,DAVIE,MOCKSVILLE,,NC,27028,
,CHATHAM,MONCURE,,NC,27559,
,UNION,MONROE,,NC,28111,
,UNION,MONROE,,NC,28112,
,AVERY,MONTEZUMA,,NC,28653,
,BUNCOMBE,MONTREAT,,NC,28757,
,CLEVELAND,MOORESBORO,,NC,28114,
,IREDELL,MOORESVILLE,,NC,28115,
,WILKES,MORAVIAN FALLS,,NC,28654,
,BURKE,MORGANTON,,NC,28680,
,ANSON,MORVEN,,NC,28119,
,SURRY,MOUNT AIRY,,NC,27030,
,MONTGOMERY,MOUNT GILEAD,,NC,27306,
,GASTON,MOUNT HOLLY,,NC,28120,
,IREDELL,MOUNT MOURNE,,NC,28123,
,WAYNE,MOUNT OLIVE,,NC,28365,
,CABARRUS,MOUNT PLEASANT,,NC,28124,
,ROWAN,MOUNT ULLA,,NC,28125,
,HENDERSON,MOUNTAIN HOME,,NC,28758,
,CURRITUCK,MOYOCK,,NC,27958,
,HERTFORD,MURFREESBORO,,NC,27855,
,DARE,NAGS HEAD,,NC,27959,
,COLUMBUS,NAKINA,,NC,28455,
,HENDERSON,NAPLES,,NC,28760,
,NASH,NASHVILLE,,NC,27856,
,MCDOWELL,NEBO,,NC,28761,
,CRAVEN,NEW BERN,,NC,28560,
,CRAVEN,NEW BERN,,NC,28561,
,CRAVEN,NEW BERN,,NC,28563,
,CRAVEN,NEW BERN,,NC,28564,
,WAKE,NEW HILL,,NC,27562,
,STANLY,NEW LONDON,,NC,28127,
,MECKLENBURG,NEWELL,,NC,28126,
,AVERY,NEWLAND,,NC,28657,
,CARTERET,NEWPORT,,NC,28570,
,CATAWBA,NEWTON,,NC,28658,
,SAMPSON,NEWTON GROVE,,NC,28366,
,WARREN,NORLINA,,NC,27563,
,RICHMOND,NORMAN,,NC,28367,
,WILKES,NORTH WILKESBORO,,NC,28656,
,WILKES,NORTH WILKESBORO,,NC,28659,
,STANLY,NORWOOD,,NC,28128,
,MARTIN,OAK CITY,,NC,27857,
,BRUNSWICK,OAK ISLAND,,NC,28465,
,GUILFORD,OAK RIDGE,,NC,27310,
,STANLY,OAKBORO,,NC,28129,
,BRUNSWICK,OCEAN ISLE BEACH,,NC,28469,
,HYDE,OCRACOKE,,NC,27960,
,MCDOWELL,OLD FORT,,NC,28762,
,IREDELL,OLIN,,NC,28660,
,HARNETT,OLIVIA,,NC,28368,
,PAMLICO,ORIENTAL,,NC,28571,
,ROBESON,ORRUM,,NC,28369,
,MACON,OTTO,,NC,28763,
,GRANVILLE,OXFORD,,NC,27565,
,BEAUFORT,PANTEGO,,NC,27860,
,ROBESON,PARKTON,,NC,28371,
,CALDWELL,PATTERSON,,NC,28661,
,MECKLENBURG,PAW CREEK,,NC,28130,
,ANSON,PEACHLAND,,NC,28133,
,CASWELL,PELHAM,,NC,27311,
,NORTHAMPTON,PENDLETON,,NC,27862,
,MITCHELL,PENLAND,,NC,28765,
,TRANSYLVANIA,PENROSE,,NC,28766,
,FORSYTH,PFAFFTOWN,,NC,27040,
,WAYNE,PIKEVILLE,,NC,27863,
,SURRY,PILOT MOUNTAIN,,NC,27041,
,STOKES,PINE HALL,,NC,27042,
,JOHNSTON,PINE LEVEL,,NC,27568,
,MOORE,PINEBLUFF,,NC,28373,
,MOORE,PINEHURST,,NC,28370,
,AVERY,PINEOLA,,NC,28662,
,EDGECOMBE,PINETOPS,,NC,27864,
,BEAUFORT,PINETOWN,,NC,27865,
,ALLEGHANY,PINEY CREEK,,NC,28663,
,LENOIR,PINK HILL,,NC,28572,
,STOKES,PINNACLE,,NC,27043,
,TRANSYLVANIA,PISGAH FOREST,,NC,28768,
,CHATHAM,PITTSBORO,,NC,27312,
,GUILFORD,PLEASANT GARDEN,,NC,27313,
,NORTHAMPTON,PLEASANT HILL,,NC,27866,
,AVERY,PLUMTREE,,NC,28664,
,WASHINGTON,PLYMOUTH,,NC,27962,
,CURRITUCK,POINT HARBOR,,NC,27964,
,ANSON,POLKTON,,NC,28135,
,CLEVELAND,POLKVILLE,,NC,28136,
,JONES,POLLOCKSVILLE,,NC,28573,
,CUMBERLAND,POPE ARMY AIRFIELD,,NC,28308,
,CURRITUCK,POPLAR BRANCH,,NC,27965,
,NORTHAMPTON,POTECASI,,NC,27867,
,CURRITUCK,POWELLS POINT,,NC,27966,
,BERTIE,POWELLSVILLE,,NC,27967,
,JOHNSTON,PRINCETON,,NC,27569,
,ROBESON,PROCTORVILLE,,NC,28375,
,CASWELL,PROSPECT HILL,,NC,27314,
,CASWELL,PROVIDENCE,,NC,27315,
,WILKES,PURLEAR,,NC,28665,
,HOKE,RAEFORD,,NC,28376,
,WAKE,RALEIGH,,NC,27602,
,WAKE,RALEIGH,,NC,27603,
,WAKE,RALEIGH,,NC,27606,
,WAKE,RALEIGH,,NC,27608,
,WAKE,RALEIGH,,NC,27611,
,WAKE,RALEIGH,,NC,27619,
,WAKE,RALEIGH,,NC,27620,
,WAKE,RALEIGH,,NC,27622,
,WAKE,RALEIGH,,NC,27624,
,WAKE,RALEIGH,,NC,27625,
,WAKE,RALEIGH,,NC,27627,
,WAKE,RALEIGH,,NC,27628,
,WAKE,RALEIGH,,NC,27629,
,WAKE,RALEIGH,,NC,27635,
,WAKE,RALEIGH,,NC,27636,
,WAKE,RALEIGH,,NC,27650,
,WAKE,RALEIGH,,NC,27656,
,WAKE,RALEIGH,,NC,27658,
,WAKE,RALEIGH,,NC,27661,
,WAKE,RALEIGH,,NC,27668,
,WAKE,RALEIGH,,NC,27675,
,WAKE,RALEIGH,,NC,27676,
,WAKE,RALEIGH,,NC,27695,
,WAKE,RALEIGH,,NC,27697,
,WAKE,RALEIGH,,NC,27699,
,RANDOLPH,RAMSEUR,,NC,27316,
,RANDOLPH,RANDLEMAN,,NC,27317,
,NASH,RED OAK,,NC,27868,
,ROBESON,RED SPRINGS,,NC,28377,
,ROCKINGHAM,REIDSVILLE,,NC,27320,
,ROCKINGHAM,REIDSVILLE,,NC,27323,
,ROBESON,REX,,NC,28378,
,CALDWELL,RHODHISS,,NC,28667,
,NORTHAMPTON,RICH SQUARE,,NC,27869,
,STANLY,RICHFIELD,,NC,28137,
,ONSLOW,RICHLANDS,,NC,28574,
,BUNCOMBE,RIDGECREST,,NC,28770,
,WARREN,RIDGEWAY,,NC,27570,
,COLUMBUS,RIEGELWOOD,,NC,28456,
,ALLEGHANY,ROARING GAP,,NC,28668,
,WILKES,ROARING RIVER,,NC,28669,
,MOORE,ROBBINS,,NC,27325,
,GRAHAM,ROBBINSVILLE,,NC,28771,
,MARTIN,ROBERSONVILLE,,NC,27871,
,RICHMOND,ROCKINGHAM,,NC,28379,
,RICHMOND,ROCKINGHAM,,NC,28380,
,ROWAN,ROCKWELL,,NC,28138,
,EDGECOMBE,ROCKY MOUNT,,NC,27801,
,EDGECOMBE,ROCKY MOUNT,,NC,27802,
,NASH,ROCKY MOUNT,,NC,27803,
,PENDER,ROCKY POINT,,NC,28457,
,DARE,RODANTHE,,NC,27968,
,WAKE,ROLESVILLE,,NC,27571,
,WILKES,RONDA,,NC,28670,
,WASHINGTON,ROPER,,NC,27970,
,DUPLIN,ROSE HILL,,NC,28458,
,SAMPSON,ROSEBORO,,NC,28382,
,TRANSYLVANIA,ROSMAN,,NC,28772,
,DURHAM,ROUGEMONT,,NC,27572,
,ROBESON,ROWLAND,,NC,28383,
,PERSON,ROXBORO,,NC,27573,
,PERSON,ROXBORO,,NC,27574,
,BERTIE,ROXOBEL,,NC,27872,
,ROCKINGHAM,RUFFIN,,NC,27326,
,FORSYTH,RURAL HALL,,NC,27045,
,FORSYTH,RURAL HALL,,NC,27094,
,BURKE,RUTHERFORD COLLEGE,,NC,28671,
,RUTHERFORD,RUTHERFORDTON,,NC,28139,
,ROBESON,SAINT PAULS,,NC,28384,
,SAMPSON,SALEMBURG,,NC,28385,
,ROWAN,SALISBURY,,NC,28145,
,ROWAN,SALISBURY,,NC,28146,
,ROWAN,SALISBURY,,NC,28147,
,CARTERET,SALTER PATH,,NC,28575,
,POLK,SALUDA,,NC,28773,
,DARE,SALVO,,NC,27972,
,STOKES,SANDY RIDGE,,NC,27046,
,LEE,SANFORD,,NC,27330,
,LEE,SANFORD,,NC,27331,
,TRANSYLVANIA,SAPPHIRE,,NC,28774,
,WILSON,SARATOGA,,NC,27873,
,ALAMANCE,SAXAPAHAW,,NC,27340,
,MACON,SCALY MOUNTAIN,,NC,28775,
,HALIFAX,SCOTLAND NECK,,NC,27874,
,IREDELL,SCOTTS,,NC,28699,
,ASHE,SCOTTVILLE,,NC,28672,
,HYDE,SCRANTON,,NC,27875,
,NORTHAMPTON,SEABOARD,,NC,27876,
,RANDOLPH,SEAGROVE,,NC,27341,
,CARTERET,SEALEVEL,,NC,28577,
,GUILFORD,SEDALIA,,NC,27342,
,JOHNSTON,SELMA,,NC,27576,
,PERSON,SEMORA,,NC,27343,
,WAYNE,SEVEN SPRINGS,,NC,28578,
,NORTHAMPTON,SEVERN,,NC,27877,
,BRUNSWICK,SHALLOTTE,,NC,28459,
,BRUNSWICK,SHALLOTTE,,NC,28470,
,ROBESON,SHANNON,,NC,28386,
,NASH,SHARPSBURG,,NC,27878,
,CURRITUCK,SHAWBORO,,NC,27973,
,CLEVELAND,SHELBY,,NC,28150,
,CLEVELAND,SHELBY,,NC,28151,
,CATAWBA,SHERRILLS FORD,,NC,28673,
,CAMDEN,SHILOH,,NC,27974,
,CHATHAM,SILER CITY,,NC,27344,
,SURRY,SILOAM,,NC,27047,
,PITT,SIMPSON,,NC,27879,
,WILSON,SIMS,,NC,27880,
,BUNCOMBE,SKYLAND,,NC,28776,
,CARTERET,SMYRNA,,NC,28579,
,ONSLOW,SNEADS FERRY,,NC,28460,
,ALAMANCE,SNOW CAMP,,NC,27349,
,GREENE,SNOW HILL,,NC,28580,
,RANDOLPH,SOPHIA,,NC,27350,
,CAMDEN,SOUTH MILLS,,NC,27976,
,MOORE,SOUTHERN PINES,,NC,28387,
,MOORE,SOUTHERN PINES,,NC,28388,
,DAVIDSON,SOUTHMONT,,NC,27351,
,BRUNSWICK,SOUTHPORT,,NC,28461,
,ALLEGHANY,SPARTA,,NC,28675,
,EDGECOMBE,SPEED,,NC,27881,
,ROWAN,SPENCER,,NC,28159,
,RUTHERFORD,SPINDALE,,NC,28160,
,NASH,SPRING HOPE,,NC,27882,
,CUMBERLAND,SPRING LAKE,,NC,28390,
,MITCHELL,SPRUCE PINE,,NC,28777,
,CARTERET,STACY,,NC,28581,
,RANDOLPH,STALEY,,NC,27355,
,STANLY,STANFIELD,,NC,28163,
,GASTON,STANLEY,,NC,28164,
,WILSON,STANTONSBURG,,NC,27883,
,MONTGOMERY,STAR,,NC,27356,
,SURRY,STATE ROAD,,NC,28676,
,IREDELL,STATESVILLE,,NC,28677,
,IREDELL,STATESVILLE,,NC,28687,
,CUMBERLAND,STEDMAN,,NC,28391,
,CARTERET,STELLA,,NC,28582,
,GRANVILLE,STEM,,NC,27581,
,PITT,STOKES,,NC,27884,
,GUILFORD,STOKESDALE,,NC,27357,
,ROCKINGHAM,STONEVILLE,,NC,27048,
,PAMLICO,STONEWALL,,NC,28583,
,ALEXANDER,STONY POINT,,NC,28678,
,GRANVILLE,STOVALL,,NC,27582,
,DARE,STUMPY POINT,,NC,27978,
,WATAUGA,SUGAR GROVE,,NC,28679,
,GUILFORD,SUMMERFIELD,,NC,27358,
,GATES,SUNBURY,,NC,27979,
,BRUNSWICK,SUNSET BEACH,,NC,28468,
,BRUNSWICK,SUPPLY,,NC,28462,
,HYDE,SWANQUARTER,,NC,27885,
,ONSLOW,SWANSBORO,,NC,28584,
,ALAMANCE,SWEPSONVILLE,,NC,27359,
,JACKSON,SYLVA,,NC,28779,
,COLUMBUS,TABOR CITY,,NC,28463,
,BLADEN,TAR HEEL,,NC,28392,
,ONSLOW,TARAWA TERRACE,,NC,28543,
,EDGECOMBE,TARBORO,,NC,27886,
,ALEXANDER,TAYLORSVILLE,,NC,28681,
,DUPLIN,TEACHEY,,NC,28464,
,CATAWBA,TERRELL,,NC,28682,
,DAVIDSON,THOMASVILLE,,NC,27360,
,DAVIDSON,THOMASVILLE,,NC,27361,
,WILKES,THURMOND,,NC,28683,
,HALIFAX,TILLERY,,NC,27887,
,PERSON,TIMBERLAKE,,NC,27583,
,FORSYTH,TOBACCOVILLE,,NC,27050,
,ASHE,TODD,,NC,28684,
,CHEROKEE,TOPTON,,NC,28781,
,VANCE,TOWNSVILLE,,NC,27584,
,WILKES,TRAPHILL,,NC,28685,
,JONES,TRENTON,,NC,28585,
,RANDOLPH,TRINITY,,NC,27370,
,IREDELL,TROUTMAN,,NC,28166,
,MONTGOMERY,TROY,,NC,27371,
,POLK,TRYON,,NC,28782,
,JACKSON,TUCKASEGEE,,NC,28783,
,SAMPSON,TURKEY,,NC,28393,
,HENDERSON,TUXEDO,,NC,28784,
,CHOWAN,TYNER,,NC,27980,
,IREDELL,UNION GROVE,,NC,28689,
,RUTHERFORD,UNION MILLS,,NC,28167,
,BURKE,VALDESE,,NC,28690,
,LINCOLN,VALE,,NC,28168,
,WATAUGA,VALLE CRUCIS,,NC,28691,
,CRAVEN,VANCEBORO,,NC,28586,
,PAMLICO,VANDEMERE,,NC,28587,
,MOORE,VASS,,NC,28394,
,WARREN,VAUGHAN,,NC,27586,
,WATAUGA,VILAS,,NC,28692,
,CLEVELAND,WACO,,NC,28169,
,CUMBERLAND,WADE,,NC,28395,
,ANSON,WADESBORO,,NC,28170,
,SCOTLAND,WAGRAM,,NC,28396,
,WAKE,WAKE FOREST,,NC,27588,
,FORSYTH,WALKERTOWN,,NC,27051,
,DUPLIN,WALLACE,,NC,28466,
,DAVIDSON,WALLBURG,,NC,27373,
,STOKES,WALNUT COVE,,NC,27052,
,GREENE,WALSTONBURG,,NC,27888,
,DARE,WANCHESE,,NC,27981,
,CLAY,WARNE,,NC,28909,
,ASHE,WARRENSVILLE,,NC,28693,
,WARREN,WARRENTON,,NC,27589,
,DUPLIN,WARSAW,,NC,28398,
,BEAUFORT,WASHINGTON,,NC,27889,
,DARE,WAVES,,NC,27982,
,HAYWOOD,WAYNESVILLE,,NC,28785,
,JACKSON,WEBSTER,,NC,28788,
,DAVIDSON,WELCOME,,NC,27374,
,HALIFAX,WELDON,,NC,27890,
,WAKE,WENDELL,,NC,27591,
,ROCKINGHAM,WENTWORTH,,NC,27375,
,MOORE,WEST END,,NC,27376,
,ASHE,WEST JEFFERSON,,NC,28694,
,SURRY,WESTFIELD,,NC,27053,
,NASH,WHITAKERS,,NC,27891,
,BLADEN,WHITE OAK,,NC,28399,
,COLUMBUS,WHITEVILLE,,NC,28472,
,GUILFORD,WHITSETT,,NC,27377,
,JACKSON,WHITTIER,,NC,28789,
,WILKES,WILKESBORO,,NC,28697,
,PENDER,WILLARD,,NC,28478,
,MARTIN,WILLIAMSTON,,NC,27892,
,CARTERET,WILLISTON,,NC,28589,
,WAKE,WILLOW SPRING,,NC,27592,
,NEW HANOVER,WILMINGTON,,NC,28401,
,NEW HANOVER,WILMINGTON,,NC,28402,
,NEW HANOVER,WILMINGTON,,NC,28404,
,NEW HANOVER,WILMINGTON,,NC,28406,
,NEW HANOVER,WILMINGTON,,NC,28407,
,NEW HANOVER,WILMINGTON,,NC,28408,
,NEW HANOVER,WILMINGTON,,NC,28409,
,NEW HANOVER,WILMINGTON,,NC,28411,
,WILSON,WILSON,,NC,27893,
,WILSON,WILSON,,NC,27894,
,WILSON,WILSON,,NC,27895,
,JOHNSTON,WILSONS MILLS,,NC,27593,
,BERTIE,WINDSOR,,NC,27983,
,PERQUIMANS,WINFALL,,NC,27985,
,UNION,WINGATE,,NC,28174,
,BRUNSWICK,WINNABOW,,NC,28479,
,FORSYTH,WINSTON SALEM,,NC,27101,
,FORSYTH,WINSTON SALEM,,NC,27102,
,FORSYTH,WINSTON SALEM,,NC,27107,
,FORSYTH,WINSTON SALEM,,NC,27108,
,FORSYTH,WINSTON SALEM,,NC,27110,
,FORSYTH,WINSTON SALEM,,NC,27113,
,FORSYTH,WINSTON SALEM,,NC,27114,
,FORSYTH,WINSTON SALEM,,NC,27115,
,FORSYTH,WINSTON SALEM,,NC,27116,
,FORSYTH,WINSTON SALEM,,NC,27117,
,FORSYTH,WINSTON SALEM,,NC,27120,
,FORSYTH,WINSTON SALEM,,NC,27127,
,FORSYTH,WINSTON SALEM,,NC,27150,
,FORSYTH,WINSTON SALEM,,NC,27152,
,FORSYTH,WINSTON SALEM,,NC,27155,
,FORSYTH,WINSTON SALEM,,NC,27157,
,FORSYTH,WINSTON SALEM,,NC,27199,
,HERTFORD,WINTON,,NC,27986,
,WARREN,WISE,,NC,27594,
,NORTHAMPTON,WOODLAND,,NC,27897,
,ROWAN,WOODLEAF,,NC,27054,
,NEW HANOVER,WRIGHTSVILLE BEACH,,NC,28480,
,YADKIN,YADKINVILLE,,NC,27055,
,CASWELL,YANCEYVILLE,,NC,27379,
,FRANKLIN,YOUNGSVILLE,,NC,27596,
,WAKE,ZEBULON,,NC,27597,
,WATAUGA,ZIONVILLE,,NC,28698,
,HENDERSON,ZIRCONIA,,NC,28790,
